framework,condition,n,n_success,success_rate
autogen,none,240,100,0.4166666666666667
autogen,reflection_independent_verification,240,111,0.4625
autogen,structured_output_validation,240,45,0.1875
autogen,supervisor_orchestrator,240,103,0.42916666666666664
crewai,none,240,100,0.4166666666666667
crewai,reflection_independent_verification,240,104,0.43333333333333335
crewai,structured_output_validation,240,67,0.2791666666666667
crewai,supervisor_orchestrator,240,111,0.4625
langgraph,none,240,96,0.4
langgraph,reflection_independent_verification,240,110,0.4583333333333333
langgraph,structured_output_validation,240,86,0.35833333333333334
langgraph,supervisor_orchestrator,240,93,0.3875
