run_index,success,final_output,latency_seconds,prompt_tokens,completion_tokens,total_tokens,tool_calls,steps_executed,cost_usd,raw_log_path,run_id,runtime_mode_x,is_valid_analytical_x,mast_task_successful,mast_summary,primary_failure_modes,runtime_mode_y,is_valid_analytical_y,criteria_success,criteria_matched,criteria_total,criteria_scorer,task_id,is_scaffold,is_heuristic_judge,is_runtime_failure,validity_reason,mast_judge_enabled,mast_judge_runtime,framework,benchmark,benchmark_family,condition,framework_condition
0,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. Since no blockers were escalated, the workflow will conclude without further action.",26.97675888700178,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/3185e69e-f17a-4eb9-832d-dc430835bebd.jsonl,3185e69e-f17a-4eb9-832d-dc430835bebd,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
1,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. However, since no blockers were escalated, the workflow will conclude without further action. The task may be revisited later to address the unverified criterion.",48.75233385502361,30,20,50,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/e94447b2-e4ac-44f9-a59f-eed4b9d8566e.jsonl,e94447b2-e4ac-44f9-a59f-eed4b9d8566e,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
2,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. However, since no blockers were escalated, the workflow will conclude without further action.",43.52599026996177,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/bd6e5ea7-501b-4c4c-8648-91fb129171ea.jsonl,bd6e5ea7-501b-4c4c-8648-91fb129171ea,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
3,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. Since no blockers were escalated, the workflow will conclude without further action.",25.74064738600282,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/4ff5f5ac-bb4c-40be-bd8e-fe2f113e6833.jsonl,4ff5f5ac-bb4c-40be-bd8e-fe2f113e6833,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
4,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. Since no blockers were escalated, the workflow will conclude without further action.",31.509468889969867,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/69c553e2-d15d-41b5-b824-5df80bd2a54b.jsonl,69c553e2-d15d-41b5-b824-5df80bd2a54b,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
5,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. However, since no blockers were escalated, the workflow will conclude without further action.",33.74247509799898,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/93e387b0-ae65-41c0-a629-c3156e3f0e53.jsonl,93e387b0-ae65-41c0-a629-c3156e3f0e53,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
6,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. Since no blockers were escalated during the workflow, the process will conclude here. The team should plan to revisit the unverified criterion in future iterations to ensure all acceptance criteria are eventually satisfied.",34.23409339104546,30,24,54,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/4dba726a-c1c0-4d96-9306-45d6c842e546.jsonl,4dba726a-c1c0-4d96-9306-45d6c842e546,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
7,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. However, since no blockers were escalated, the workflow will conclude without further action.",25.45211426098831,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/ec512515-9d32-41ff-b6a1-7848016217ce.jsonl,ec512515-9d32-41ff-b6a1-7848016217ce,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
8,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. However, since no blockers were escalated, the workflow will conclude without further action.",24.32190196897136,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/3df8b3e9-4caf-4a91-8e2e-ab8beb445f46.jsonl,3df8b3e9-4caf-4a91-8e2e-ab8beb445f46,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
9,True,"Final State Decision: The task will be marked as incomplete due to one unverified acceptance criterion. Since no blockers were escalated, the workflow will conclude without further action.",25.35713538597338,30,14,44,0,26,0.0,/workspace/results/coordination_mitigations_2026-08-27/traces/autogen/none/autogen/c53e7574-a743-4790-9834-d3b5e330ba2a.jsonl,c53e7574-a743-4790-9834-d3b5e330ba2a,,,False,Heuristic fallback only. Configure a judge model to obtain MAST-aligned judgments.,['3.2 Weak Verification'],,,True,3,3,codebook_keyword_anchors_v1,coord-ambiguous-termination-condition,True,True,False,scaffold_or_fallback;heuristic_judge,False,heuristic_fallback,autogen,coordination_suite/coord-ambiguous-termination-condition/none,coordination_suite,none,autogen | none
