run_index,success,final_output,latency_seconds,prompt_tokens,completion_tokens,total_tokens,tool_calls,steps_executed,cost_usd,raw_log_path,run_id
0,False,AutoGen native run timed out before completion. timeout_seconds=180.0,181.787810290989,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/16602ee5-93fc-46cf-a117-78b129a95f4e.jsonl,16602ee5-93fc-46cf-a117-78b129a95f4e
1,False,AutoGen native run timed out before completion. timeout_seconds=180.0,189.3513814189937,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/6be27967-a754-406c-a1e5-d64718127b3f.jsonl,6be27967-a754-406c-a1e5-d64718127b3f
2,False,AutoGen native run timed out before completion. timeout_seconds=180.0,296.7881204679725,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/1d71da63-ebd8-4af9-a3f6-b093e290bcb3.jsonl,1d71da63-ebd8-4af9-a3f6-b093e290bcb3
3,False,AutoGen native run timed out before completion. timeout_seconds=180.0,236.15169514797162,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/8862a5b5-d8ad-4a9a-99f0-56e7e3a8edbd.jsonl,8862a5b5-d8ad-4a9a-99f0-56e7e3a8edbd
4,False,AutoGen native run timed out before completion. timeout_seconds=180.0,227.00376072799554,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/216b4988-258d-4a24-9bdf-a80e2a4f2465.jsonl,216b4988-258d-4a24-9bdf-a80e2a4f2465
5,False,AutoGen native run timed out before completion. timeout_seconds=180.0,202.83465280098608,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/14706611-98ea-415e-8d8e-066df73a801a.jsonl,14706611-98ea-415e-8d8e-066df73a801a
6,False,AutoGen native run timed out before completion. timeout_seconds=180.0,227.17776781099383,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/15cd2a71-20e0-42d2-ad70-fcd987ecd8fb.jsonl,15cd2a71-20e0-42d2-ad70-fcd987ecd8fb
7,False,AutoGen native run timed out before completion. timeout_seconds=180.0,226.33049164403928,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/ce2b0c96-e2df-4225-baea-e9dbee5e3ed1.jsonl,ce2b0c96-e2df-4225-baea-e9dbee5e3ed1
8,False,AutoGen native run timed out before completion. timeout_seconds=180.0,317.107328728016,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/cd02ca98-945f-4db7-a4d2-c1ca07d90b7a.jsonl,cd02ca98-945f-4db7-a4d2-c1ca07d90b7a
9,False,AutoGen native run timed out before completion. timeout_seconds=180.0,205.8653152610059,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/04edd0db-e022-4340-ab3d-f6992debcf6f.jsonl,04edd0db-e022-4340-ab3d-f6992debcf6f
10,False,AutoGen native run timed out before completion. timeout_seconds=180.0,194.32537646294804,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/8ab4990b-baa4-4c32-97dd-41131d529db4.jsonl,8ab4990b-baa4-4c32-97dd-41131d529db4
11,False,AutoGen native run timed out before completion. timeout_seconds=180.0,193.12804371397942,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/a90f71ad-ce36-4bed-892e-c9bcaabe3027.jsonl,a90f71ad-ce36-4bed-892e-c9bcaabe3027
12,False,AutoGen native run timed out before completion. timeout_seconds=180.0,240.26943502703216,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/2eb6c6d0-a89f-4cb9-9667-5d0f7216028e.jsonl,2eb6c6d0-a89f-4cb9-9667-5d0f7216028e
13,False,AutoGen native run timed out before completion. timeout_seconds=180.0,227.51625281304587,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/31f589c8-7b26-4f7b-ba91-d54400394eb8.jsonl,31f589c8-7b26-4f7b-ba91-d54400394eb8
14,False,AutoGen native run timed out before completion. timeout_seconds=180.0,208.2755537200137,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/be7819c6-7e49-47a0-828c-acb8eb727bb8.jsonl,be7819c6-7e49-47a0-828c-acb8eb727bb8
15,False,AutoGen native run timed out before completion. timeout_seconds=180.0,219.9963070609956,31,0,31,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/autogen/autogen/797b24b0-e86b-4254-80ae-8e5207e5496e.jsonl,797b24b0-e86b-4254-80ae-8e5207e5496e
