framework_condition,mast_label,absolute_count,percentage_of_runs,n_runs,level
autogen | none,3.2 Weak Verification,1,100.0,1,mode
autogen | reflection_independent_verification,3.2 Weak Verification,1,100.0,1,mode
autogen | structured_output_validation,3.2 Weak Verification,1,100.0,1,mode
autogen | supervisor_orchestrator,3.2 Weak Verification,1,100.0,1,mode
crewai | none,3.2 Weak Verification,1,100.0,1,mode
crewai | reflection_independent_verification,3.2 Weak Verification,1,100.0,1,mode
crewai | structured_output_validation,3.2 Weak Verification,1,100.0,1,mode
crewai | supervisor_orchestrator,3.2 Weak Verification,1,100.0,1,mode
langgraph | none,3.2 Weak Verification,1,100.0,1,mode
langgraph | reflection_independent_verification,3.2 Weak Verification,1,100.0,1,mode
langgraph | structured_output_validation,3.2 Weak Verification,1,100.0,1,mode
langgraph | supervisor_orchestrator,3.2 Weak Verification,1,100.0,1,mode
