task_id,condition,n,n_success,success_rate
coord-ambiguous-termination-condition,none,90,89,0.9888888888888889
coord-ambiguous-termination-condition,reflection_independent_verification,90,87,0.9666666666666667
coord-ambiguous-termination-condition,structured_output_validation,90,74,0.8222222222222222
coord-ambiguous-termination-condition,supervisor_orchestrator,90,90,1.0
coord-clarification-before-execution,none,90,0,0.0
coord-clarification-before-execution,reflection_independent_verification,90,1,0.011111111111111112
coord-clarification-before-execution,structured_output_validation,90,0,0.0
coord-clarification-before-execution,supervisor_orchestrator,90,7,0.07777777777777778
coord-combined-asymmetry-verification,none,90,13,0.14444444444444443
coord-combined-asymmetry-verification,reflection_independent_verification,90,23,0.25555555555555554
coord-combined-asymmetry-verification,structured_output_validation,90,1,0.011111111111111112
coord-combined-asymmetry-verification,supervisor_orchestrator,90,41,0.45555555555555555
coord-conflicting-done-criteria,none,90,0,0.0
coord-conflicting-done-criteria,reflection_independent_verification,90,4,0.044444444444444446
coord-conflicting-done-criteria,structured_output_validation,90,1,0.011111111111111112
coord-conflicting-done-criteria,supervisor_orchestrator,90,1,0.011111111111111112
coord-info-asymmetry-constraint,none,90,89,0.9888888888888889
coord-info-asymmetry-constraint,reflection_independent_verification,90,84,0.9333333333333333
coord-info-asymmetry-constraint,structured_output_validation,90,42,0.4666666666666667
coord-info-asymmetry-constraint,supervisor_orchestrator,90,80,0.8888888888888888
coord-role-overlap-duplicate-actions,none,90,13,0.14444444444444443
coord-role-overlap-duplicate-actions,reflection_independent_verification,90,37,0.4111111111111111
coord-role-overlap-duplicate-actions,structured_output_validation,90,15,0.16666666666666666
coord-role-overlap-duplicate-actions,supervisor_orchestrator,90,5,0.05555555555555555
coord-unclear-handoff-incomplete-artifact,none,90,7,0.07777777777777778
coord-unclear-handoff-incomplete-artifact,reflection_independent_verification,90,15,0.16666666666666666
coord-unclear-handoff-incomplete-artifact,structured_output_validation,90,0,0.0
coord-unclear-handoff-incomplete-artifact,supervisor_orchestrator,90,0,0.0
coord-weak-final-verification,none,90,85,0.9444444444444444
coord-weak-final-verification,reflection_independent_verification,90,74,0.8222222222222222
coord-weak-final-verification,structured_output_validation,90,65,0.7222222222222222
coord-weak-final-verification,supervisor_orchestrator,90,83,0.9222222222222223
