run_index,success,final_output,latency_seconds,prompt_tokens,completion_tokens,total_tokens,tool_calls,steps_executed,cost_usd,raw_log_path,run_id
0,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",1.037168084003497,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/e107b0c1-42b2-4b34-a339-96f8b716352a.jsonl,e107b0c1-42b2-4b34-a339-96f8b716352a
1,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",0.9998022919753566,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/cacd4f7f-0836-4cdc-a60f-3307dab9cfb4.jsonl,cacd4f7f-0836-4cdc-a60f-3307dab9cfb4
2,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",0.9130405830219388,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/b4e573f6-c201-435c-a52f-b0bc509c839d.jsonl,b4e573f6-c201-435c-a52f-b0bc509c839d
3,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",0.8544780429801904,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/20860bcc-0a8c-4dbd-a0dc-0a222903ed0c.jsonl,20860bcc-0a8c-4dbd-a0dc-0a222903ed0c
4,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",0.957853082974907,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/9feb8836-ff8d-419a-9e4f-ce3c33cd2d31.jsonl,9feb8836-ff8d-419a-9e4f-ce3c33cd2d31
5,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",1.0119207089883275,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/f611e6b9-0c20-4091-bd58-5888ee6816c7.jsonl,f611e6b9-0c20-4091-bd58-5888ee6816c7
6,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. 

Task status: Incomplete.",0.7516574589535594,128,30,158,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/94c27670-dc64-4647-b66e-cb0b6eaf4e4c.jsonl,94c27670-dc64-4647-b66e-cb0b6eaf4e4c
7,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",0.9974049179581925,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/5af4317e-4e5e-457d-8336-bd99683ff05b.jsonl,5af4317e-4e5e-457d-8336-bd99683ff05b
8,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. 

Task status: Incomplete.",0.8165362510480918,128,30,158,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/2f665ad9-7daf-41e0-a548-3e0e0df1b9f6.jsonl,2f665ad9-7daf-41e0-a548-3e0e0df1b9f6
9,False,"Final state decision: The task is incomplete because one acceptance criterion remains unverified, and no blocker was escalated. The workflow will continue until all criteria are verified or a blocker is escalated. Task is not complete.",1.1775312090176158,128,44,172,0,1,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/langgraph/langgraph/572a4f8b-5aba-4277-b706-2a75c2129ecd.jsonl,572a4f8b-5aba-4277-b706-2a75c2129ecd
