framework_condition,mast_label,absolute_count,percentage_of_runs,n_runs,level
autogen | none,3.2 Weak Verification,240,100.0,240,mode
autogen | none,1.3 Step Repetition,30,12.5,240,mode
autogen | reflection_independent_verification,3.2 Weak Verification,240,100.0,240,mode
autogen | reflection_independent_verification,1.3 Step Repetition,30,12.5,240,mode
autogen | structured_output_validation,3.2 Weak Verification,240,100.0,240,mode
autogen | structured_output_validation,1.3 Step Repetition,30,12.5,240,mode
autogen | supervisor_orchestrator,3.2 Weak Verification,240,100.0,240,mode
autogen | supervisor_orchestrator,1.3 Step Repetition,30,12.5,240,mode
crewai | none,3.2 Weak Verification,240,100.0,240,mode
crewai | none,1.3 Step Repetition,30,12.5,240,mode
crewai | reflection_independent_verification,3.2 Weak Verification,240,100.0,240,mode
crewai | reflection_independent_verification,1.3 Step Repetition,30,12.5,240,mode
crewai | structured_output_validation,3.2 Weak Verification,240,100.0,240,mode
crewai | structured_output_validation,1.3 Step Repetition,31,12.916666666666668,240,mode
crewai | structured_output_validation,3.3 No or Incorrect Verification,1,0.4166666666666667,240,mode
crewai | supervisor_orchestrator,3.2 Weak Verification,240,100.0,240,mode
crewai | supervisor_orchestrator,1.3 Step Repetition,30,12.5,240,mode
langgraph | none,3.2 Weak Verification,108,45.0,240,mode
langgraph | none,1.3 Step Repetition,30,12.5,240,mode
langgraph | reflection_independent_verification,3.2 Weak Verification,240,100.0,240,mode
langgraph | reflection_independent_verification,1.3 Step Repetition,30,12.5,240,mode
langgraph | structured_output_validation,3.2 Weak Verification,240,100.0,240,mode
langgraph | structured_output_validation,1.3 Step Repetition,30,12.5,240,mode
langgraph | supervisor_orchestrator,3.2 Weak Verification,137,57.08333333333333,240,mode
langgraph | supervisor_orchestrator,1.3 Step Repetition,30,12.5,240,mode
