framework,task_id,condition,n,n_success,success_rate
autogen,coord-ambiguous-termination-condition,none,30,30,1.0
autogen,coord-ambiguous-termination-condition,reflection_independent_verification,30,28,0.9333333333333333
autogen,coord-ambiguous-termination-condition,structured_output_validation,30,17,0.5666666666666667
autogen,coord-ambiguous-termination-condition,supervisor_orchestrator,30,30,1.0
autogen,coord-clarification-before-execution,none,30,0,0.0
autogen,coord-clarification-before-execution,reflection_independent_verification,30,0,0.0
autogen,coord-clarification-before-execution,structured_output_validation,30,0,0.0
autogen,coord-clarification-before-execution,supervisor_orchestrator,30,0,0.0
autogen,coord-combined-asymmetry-verification,none,30,9,0.3
autogen,coord-combined-asymmetry-verification,reflection_independent_verification,30,12,0.4
autogen,coord-combined-asymmetry-verification,structured_output_validation,30,0,0.0
autogen,coord-combined-asymmetry-verification,supervisor_orchestrator,30,23,0.7666666666666667
autogen,coord-conflicting-done-criteria,none,30,0,0.0
autogen,coord-conflicting-done-criteria,reflection_independent_verification,30,3,0.1
autogen,coord-conflicting-done-criteria,structured_output_validation,30,0,0.0
autogen,coord-conflicting-done-criteria,supervisor_orchestrator,30,0,0.0
autogen,coord-info-asymmetry-constraint,none,30,29,0.9666666666666667
autogen,coord-info-asymmetry-constraint,reflection_independent_verification,30,24,0.8
autogen,coord-info-asymmetry-constraint,structured_output_validation,30,8,0.26666666666666666
autogen,coord-info-asymmetry-constraint,supervisor_orchestrator,30,26,0.8666666666666667
autogen,coord-role-overlap-duplicate-actions,none,30,3,0.1
autogen,coord-role-overlap-duplicate-actions,reflection_independent_verification,30,14,0.4666666666666667
autogen,coord-role-overlap-duplicate-actions,structured_output_validation,30,0,0.0
autogen,coord-role-overlap-duplicate-actions,supervisor_orchestrator,30,0,0.0
autogen,coord-unclear-handoff-incomplete-artifact,none,30,4,0.13333333333333333
autogen,coord-unclear-handoff-incomplete-artifact,reflection_independent_verification,30,0,0.0
autogen,coord-unclear-handoff-incomplete-artifact,structured_output_validation,30,0,0.0
autogen,coord-unclear-handoff-incomplete-artifact,supervisor_orchestrator,30,0,0.0
autogen,coord-weak-final-verification,none,30,25,0.8333333333333334
autogen,coord-weak-final-verification,reflection_independent_verification,30,30,1.0
autogen,coord-weak-final-verification,structured_output_validation,30,20,0.6666666666666666
autogen,coord-weak-final-verification,supervisor_orchestrator,30,24,0.8
crewai,coord-ambiguous-termination-condition,none,30,29,0.9666666666666667
crewai,coord-ambiguous-termination-condition,reflection_independent_verification,30,29,0.9666666666666667
crewai,coord-ambiguous-termination-condition,structured_output_validation,30,27,0.9
