run_index,success,final_output,latency_seconds,prompt_tokens,completion_tokens,total_tokens,tool_calls,steps_executed,cost_usd,raw_log_path,run_id
0,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0013652080087922513,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/ccac842f-e2eb-4348-99c7-78e074a6ab04.jsonl,ccac842f-e2eb-4348-99c7-78e074a6ab04
1,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.002175249974243343,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/0a1de2ed-0c1a-416a-9122-62d0811a725d.jsonl,0a1de2ed-0c1a-416a-9122-62d0811a725d
2,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0025850830134004354,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/64d540bc-2a78-4b5e-aad7-5535f4f542b1.jsonl,64d540bc-2a78-4b5e-aad7-5535f4f542b1
3,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0016636670334264636,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/07a0cbeb-e977-40c6-a3ff-3569dae6418a.jsonl,07a0cbeb-e977-40c6-a3ff-3569dae6418a
4,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0018950829980894923,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/f9ce16f3-2ee9-4172-88df-da72e0841e87.jsonl,f9ce16f3-2ee9-4172-88df-da72e0841e87
5,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0029612910002470016,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/9066c722-9643-45ae-9816-a4aee766c890.jsonl,9066c722-9643-45ae-9816-a4aee766c890
6,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.008913249999750406,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/99ce53ba-ceee-4b9a-847e-f11731db27fc.jsonl,99ce53ba-ceee-4b9a-847e-f11731db27fc
7,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0010640419786795974,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/f98c2cad-38ba-4bc7-852a-8f92aa617b93.jsonl,f98c2cad-38ba-4bc7-852a-8f92aa617b93
8,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0026791669661179185,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/482e0336-8d6b-4879-9d8a-fe27041ca0e4.jsonl,482e0336-8d6b-4879-9d8a-fe27041ca0e4
9,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0028484579524956644,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/0ec7c7c7-1023-4994-8c3e-ab64773c2f4a.jsonl,0ec7c7c7-1023-4994-8c3e-ab64773c2f4a
10,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.002106166968587786,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/b6baf46e-6526-4d35-92d8-855d9794db2b.jsonl,b6baf46e-6526-4d35-92d8-855d9794db2b
11,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0012477500131353736,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/91278b21-2d51-450b-b5d5-ded0c956f932.jsonl,91278b21-2d51-450b-b5d5-ded0c956f932
12,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.004722791025415063,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/838f2edc-b273-4827-af66-ecda9a6b2693.jsonl,838f2edc-b273-4827-af66-ecda9a6b2693
13,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0027719169738702476,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/00a6fd20-3b03-4d12-a0ef-d61465e8f6ab.jsonl,00a6fd20-3b03-4d12-a0ef-d61465e8f6ab
14,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0026234170072712004,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/1c17f4ae-1f4e-40bf-8c0c-2a89f5c91d49.jsonl,1c17f4ae-1f4e-40bf-8c0c-2a89f5c91d49
15,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0020722500048577785,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/e6b4452f-8cdd-4f75-82d0-b7f6bed0efe8.jsonl,e6b4452f-8cdd-4f75-82d0-b7f6bed0efe8
16,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0011356659815646708,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/be2315ca-90dc-4a82-8247-510f89de454e.jsonl,be2315ca-90dc-4a82-8247-510f89de454e
17,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0028330410132184625,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/4e871fc8-3c96-42f6-b6f4-bbf496f459b7.jsonl,4e871fc8-3c96-42f6-b6f4-bbf496f459b7
18,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.002010416006669402,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/febead76-febc-4eac-b798-f8f5e3647fe3.jsonl,febead76-febc-4eac-b798-f8f5e3647fe3
19,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.002012333949096501,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/dd61fcd9-ac6e-4185-906c-3996269adf45.jsonl,dd61fcd9-ac6e-4185-906c-3996269adf45
20,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0009096249705180526,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/3fe7d476-5cbb-414c-95b7-d6753f52bc3d.jsonl,3fe7d476-5cbb-414c-95b7-d6753f52bc3d
21,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.003591042011976242,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/d4488a47-d252-48f1-a88d-bd791f349609.jsonl,d4488a47-d252-48f1-a88d-bd791f349609
22,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.005151249992195517,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/50e55a31-4b21-462b-81df-c77f517d012b.jsonl,50e55a31-4b21-462b-81df-c77f517d012b
23,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.002685207989998162,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/a8f7d313-d7f3-4560-8f54-ae905fb0e880.jsonl,a8f7d313-d7f3-4560-8f54-ae905fb0e880
24,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0016061249771155417,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/748485ed-19f5-472e-9e3d-d917c84ddb94.jsonl,748485ed-19f5-472e-9e3d-d917c84ddb94
25,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0006628329865634441,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/5da17933-2c03-48d6-b8e2-7539f68d8a79.jsonl,5da17933-2c03-48d6-b8e2-7539f68d8a79
26,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0024138750159181654,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/c76cb72c-6157-4237-9281-c5e4d086759e.jsonl,c76cb72c-6157-4237-9281-c5e4d086759e
27,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.002216625027358532,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/47f82979-1662-44a7-a560-4a769dae6483.jsonl,47f82979-1662-44a7-a560-4a769dae6483
28,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.001559042022563517,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/36c43b6e-5fe6-4152-bdf5-808171718c2d.jsonl,36c43b6e-5fe6-4152-bdf5-808171718c2d
29,True,metagpt scaffold completed a reproducible placeholder run for the task. The framework-specific integration can now be attached to this adapter without changing the API.,0.0024977499851956964,26,12,38,0,3,0.0,/workspace/results/coordination_baseline_2026-08-09/traces/metagpt/metagpt/0c99243b-447f-47b5-8698-f5a1c0e66c95.jsonl,0c99243b-447f-47b5-8698-f5a1c0e66c95
